Party_A,Party_B,Agreement_Rate,Total_Votes,Agreements,Disagreements
A,FrP,56.5,2503,1415,1088
A,H,76.7,2503,1920,583
A,KrF,68.4,2503,1713,790
A,MDG,46.5,2499,1161,1338
A,R,46.3,2503,1160,1343
A,SV,57.9,2503,1450,1053
A,Sp,74.3,2503,1860,643
A,V,60.6,2503,1516,987
FrP,H,65.8,2503,1646,857
FrP,KrF,60.8,2503,1521,982
FrP,MDG,31.9,2499,796,1703
FrP,R,32.6,2503,816,1687
FrP,SV,32.0,2503,802,1701
FrP,Sp,53.9,2503,1348,1155
FrP,V,51.9,2503,1300,1203
H,KrF,72.4,2503,1812,691
H,MDG,41.5,2499,1038,1461
H,R,35.6,2503,891,1612
H,SV,42.9,2503,1073,1430
H,Sp,57.3,2503,1433,1070
H,V,68.4,2503,1713,790
KrF,MDG,53.2,2499,1330,1169
KrF,R,49.5,2503,1240,1263
KrF,SV,52.0,2503,1302,1201
KrF,Sp,63.0,2503,1576,927
KrF,V,64.8,2503,1622,881
MDG,R,69.9,2499,1747,752
MDG,SV,70.6,2499,1765,734
MDG,Sp,49.8,2499,1244,1255
MDG,V,58.3,2499,1458,1041
R,SV,78.1,2503,1955,548
R,Sp,55.4,2503,1387,1116
R,V,47.5,2503,1189,1314
SV,Sp,60.9,2503,1525,978
SV,V,52.4,2503,1311,1192
Sp,V,49.9,2503,1249,1254
A,PF,54.4,1927,1048,879
FrP,PF,36.9,1927,712,1215
H,PF,43.0,1927,829,1098
KrF,PF,57.2,1927,1102,825
MDG,PF,70.6,1926,1360,566
PF,R,73.6,1927,1419,508
PF,SV,73.7,1927,1421,506
PF,Sp,62.3,1927,1201,726
PF,V,51.5,1927,993,934
A,Uav,70.3,845,594,251
FrP,Uav,83.2,845,703,142
H,Uav,71.4,845,603,242
KrF,Uav,58.0,845,490,355
MDG,Uav,34.6,845,292,553
PF,Uav,38.0,742,282,460
R,Uav,36.3,845,307,538
SV,Uav,37.6,845,318,527
Sp,Uav,64.5,845,545,300
Uav,V,49.3,845,417,428
