Name,Party,Vote,Majority,Split,Case_ID,Title,Topic
Mahmoud Farahmand,H,for,mot,1 vs 13,103993,Utbygging og finansiering av Bypakke Grenland fase 2 i Telemark,Forslag nr. 2 på vegne av FrP.
Ove Trellevik,H,for,mot,1 vs 13,103872,Endringer i helselovgivningen (tilgjengeliggjøring av helsedata og krav til tekniske og organisatoriske sikkerhetstiltak),Forslag nr. 2 på vegne av SV og R.
Rune Midtun,FrP,for,mot,1 vs 29,104646,Endringer i husleieloven (omorganisering av Husleietvistutvalget),Forslag nr. 1 på vegne av SV og R.
Hilde Grande,FrP,for,mot,2 vs 25,104477,Endringer i menneskerettsloven mv. (inkorporering av FN-konvensjonen om rettighetene til mennesker med nedsatt funksjonsevne),Forslag nr. 5 på vegne av KrF.
Line Marlene Haugen,FrP,for,mot,2 vs 25,104477,Endringer i menneskerettsloven mv. (inkorporering av FN-konvensjonen om rettighetene til mennesker med nedsatt funksjonsevne),Forslag nr. 5 på vegne av KrF.
Hilde Grande,FrP,for,mot,2 vs 27,104477,Endringer i menneskerettsloven mv. (inkorporering av FN-konvensjonen om rettighetene til mennesker med nedsatt funksjonsevne),Forslag nr. 2 og 4 på vegne av MDG.
Line Marlene Haugen,FrP,for,mot,2 vs 27,104477,Endringer i menneskerettsloven mv. (inkorporering av FN-konvensjonen om rettighetene til mennesker med nedsatt funksjonsevne),Forslag nr. 2 og 4 på vegne av MDG.
Joel Ystebø,KrF,for,mot,1 vs 2,104477,Endringer i menneskerettsloven mv. (inkorporering av FN-konvensjonen om rettighetene til mennesker med nedsatt funksjonsevne),Forslag nr. 2 og 4 på vegne av MDG.
Rune Midtun,FrP,for,mot,1 vs 28,103998,Lov om aktiviteter i verdensrommet (romloven),Forslag nr. 2 og 3 på vegne av SV og R.
Siren Julianne Jensen,MDG,for,mot,1 vs 3,103998,Lov om aktiviteter i verdensrommet (romloven),Forslag nr. 2 og 3 på vegne av SV og R.
Maria Aasen-Svensrud,A,for,mot,1 vs 31,104006,Endringer i burettslagslova og eierseksjonsloven (tilrettelegging for boligkjøpsmodeller),Forslag nr. 10 på vegne av R og MDG.
Maria Aasen-Svensrud,A,for,mot,1 vs 31,104006,Endringer i burettslagslova og eierseksjonsloven (tilrettelegging for boligkjøpsmodeller),Forslag nr. 8 og 9 på vegne av SV og R.
Sverre Myrli,A,for,mot,1 vs 31,103102,Endringer i lov om pensjonstrygd for fiskere (lukking av pensjonstrygden),Forslag nr. 3 på vegne av SV.
Sigrid Zurbuchen Heiberg,MDG,for,mot,1 vs 1,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Forslag nr. 43 på vegne av V.
Sveinung Rotevatn,V,for,mot,1 vs 4,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Forslag nr. 30 på vegne av R.
Hårek Elvenes,H,mot,for,2 vs 19,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Forslag nr. 30 på vegne av R.
Aleksander Stokkebø,H,mot,for,2 vs 19,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Forslag nr. 30 på vegne av R.
Peter Frølich,H,mot,for,1 vs 21,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Forslag nr. 15 på vegne av FrP.
Peter Frølich,H,mot,for,1 vs 21,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Forslag nr. 9 på vegne av FrP.
Peter Frølich,H,mot,for,1 vs 21,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Forslag nr. 6 på vegne av FrP.
Masud Gharahkhani,A,mot,for,1 vs 28,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,"Forslag nr. 53 på vegne av A, Sp og SV."
Ove Trellevik,H,for,mot,1 vs 21,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Stor bokstav B liten bokstav a romertall I og III
Ola Elvestuen,V,for,mot,1 vs 4,103528,Tilleggsbevilgninger og omprioriteringer i statsbudsjettet 2025,Stor bokstav B liten bokstav a romertall II
