Name,Total_Votes,Rebel_Votes,Rebel_Rate
Hashim Abdi,5,0,0.0
Stig Atle Abrahamsen,186,0,0.0
Konstanse Marie Alvær,20,0,0.0
Alf Erik Andersen,544,1,0.2
Hans Edvard Askjer,16,0,0.0
Ronny Aukrust,36,0,0.0
Une Bastholm,1220,7,0.6
Kari Sofie Bjørnsen,320,1,0.3
Jone Blikra,2102,2,0.1
Pål Morten Borgli,38,0,0.0
Isak Veierud Busch,28,0,0.0
Marius Langballe Dalin,29,0,0.0
Sunniva Holmås Eidsvoll,21,0,0.0
Anette Carnarius Elseth,24,0,0.0
Jon Engen-Helgheim,28,0,0.0
May Helen Hetland Ervik,307,1,0.3
Bente Estil,38,0,0.0
Bengt Fasteraune,1701,3,0.2
Ingrid Fiskaa,2043,5,0.2
Nils-Ole Foshaug,2022,2,0.1
Anne Lise Gjerstad Fredlund,16,0,0.0
Peter Frølich,1250,18,1.4
Trond Giske,7,0,0.0
June Trengereid Gruer,34,0,0.0
Maren Grøthe,749,2,0.3
Himanshu Gulati,1887,1,0.1
Kamzy Gunaratnam,1009,0,0.0
Amalie Gunnufsen,37,0,0.0
Liv Gustavsen,149,2,1.3
Anne Hagenborg,7,0,0.0
Marthe Hammer,22,0,0.0
Anne Grethe Hauan,34,0,0.0
Line Marlene Haugen,36,2,5.6
Trond Helleland,847,2,0.2
Mats Henriksen,30,0,0.0
Bård Hoksrud,1594,7,0.4
Sander Delp Horn,38,0,0.0
Mani Hussaini,1305,0,0.0
Mirell Høyer-Berntsen,23,0,0.0
Christoffer Emberland Håland,7,0,0.0
Benjamin Jakobsen,81,2,2.5
Siren Julianne Jensen,30,1,3.3
Martin Virkesdal Jonsterhaug,26,0,0.0
Geir Jørgensen,2085,17,0.8
Mudassar Kapur,2187,2,0.1
Tom Einar Karlsen,1917,1,0.1
Henrik Gottfries Kierulf,11,0,0.0
Kjerstin Lianes Kjøndal,15,0,0.0
Morten Kolbjørnsen,20,0,0.0
Mímir Kristjánsson,1495,8,0.5
Morgan Langfeldt,38,0,0.0
Geir Inge Lien,2091,0,0.0
Ingrid Liland,9,0,0.0
Tobias Hangaard Linge,1263,0,0.0
Anne Kristine Linnestad,2304,1,0.0
Sofie Marhaug,1772,1,0.1
Guri Melby,568,1,0.2
Linda Monsen Merkesdal,1335,2,0.1
Tuva Moflag,729,0,0.0
Anna Molberg,1878,8,0.4
Monica Molvær,38,0,0.0
Tellef Inge Mørland,1824,1,0.1
Monica Nielsen,26,0,0.0
Marius Arion Nilsen,846,3,0.4
Hege Bae Nyholt,1460,0,0.0
Dagfinn Henrik Olsen,1241,0,0.0
Geir Pollestad,961,6,0.6
Haagen Poppe,38,0,0.0
