Topic,Total_Votes,Total_For,Total_Against,Avg_Controversy
Forslag nr. 1 på vegne av SV og R.,8,120,704,0.291
Innstillingens tilråding,109,5739,2077,0.343
Lovens overskrift og loven i sin helhet.,91,3019,870,0.199
Forslag nr. 1 på vegne av FrP.,10,172,853,0.336
Forslag nr. 3 på vegne av H og MDG.,1,29,71,0.58
Forslag nr. 2 på vegne av FrP.,12,195,1039,0.317
Innstillingens tilråding.,105,3856,1434,0.271
Forslag nr. 9 på vegne av MDG.,1,5,99,0.096
Forslag nr. 5 - 7 på vegne av SV og R.,1,10,92,0.196
"Forslag nr. 4 på vegne av SV, R og V.",1,12,90,0.235
"Forslag nr. 1 - 3 på vegne av SV, R og MDG.",1,15,89,0.288
Forslag nr. 12 på vegne av MDG.,1,5,98,0.097
Forslag nr. 10 og 11 på vegne av SV og R.,1,10,93,0.194
Forslag nr. 7 - 9 på vegne av SV og R.,1,12,92,0.231
"Forslag nr. 2, 3, 5 og 6 på vegne av SV, R og MDG.",1,15,88,0.291
"Forslag nr. 4 på vegne av SV, R og MDG.",1,17,87,0.327
"Forslag nr. 1 på vegne av SV, R, MDG og V.",1,17,86,0.33
Forslag nr. 2 på vegne av SV og R.,8,164,662,0.397
Forslag nr. 1 på vegne av FrP og H.,1,48,55,0.932
Forslag nr. 1 - 8 på vegne av FrP.,1,29,73,0.569
Romertall I § 5 femte ledd nytt andre punktum Romertall IV Ny § 5-13 tredje ledd,1,69,29,0.592
Resten av romertall I og IV samt øvrige romertall,1,-1,-1,0.0
Stor bokstav B.,11,458,234,0.343
Forslag nr. 5 på vegne av KrF.,1,6,91,0.124
Forslag nr. 2 og 4 på vegne av MDG.,1,8,93,0.158
Forslag nr. 3 på vegne av MDG.,1,18,84,0.353
Forslag nr. 1 på vegne av Sp og KrF.,1,44,58,0.863
Romertall I,1,58,43,0.851
"Romertall II, III, IV",1,-1,-1,0.0
Forslag nr. 2 og 3 på vegne av SV og R.,2,26,176,0.257
